source_1_id	name	address
S1_001	Solitary Cafe LLC	123 Pine St, Seattle WA 98101
S1_002	Apex Logistics Corp	400 Industrial Pkwy, Chicago IL 60607
S1_003	Acme Robotics Inc	500 Market St, San Jose CA 95113
S1_004	Blue Star Cafe	101 Main St, Austin TX 78701
S1_005	Summit Financial Group	75 Wall St Ste 1200, New York NY 10005
S1_006	Green Valley Organics	88 River Rd, Portland OR 97201
S1_007	Pinnacle Tech Solutions	100 Tech Blvd, Boston MA 02110
S1_008	Desert Oasis Spa	250 Palm Canyon Dr, Palm Springs CA 92262
S1_009	Metro Dental Care	15 West End Ave, Nashville TN 37203
S1_010	Lone Star Auto Repair	700 Broadway, Houston TX 77002
